0	0
0.02	0.560918769
0.04	0.694157538
0.06	0.827396308
0.08	0.960635077
0.096296296	0.21384
0.146296296	0.21384
0.196296296	0.21384
0.246296296	0.21384
0.296296296	0.21384
0.346296296	0.21384
0.396296296	0.21384
0.446296296	0.21384
0.481481481	0.21384
0.746040986	0.138008503
1.046040986	0.098428266
1.346040986	0.076490984
1.646040986	0.062550083
1.946040986	0.052907416
2.21	0.046588235
2.31	0.042641929
2.41	0.039176598
2.51	0.036117141
2.61	0.033402563
2.71	0.030982911
2.81	0.02881696
2.91	0.026870443
